idGrade,x,y,bacia
1,-50.6,-26.8,5
2,-50.4,-26.8,5
3,-51.4,-26.6,11
4,-51.2,-26.6,11
5,-51.0,-26.6,5
6,-50.8,-26.6,5
7,-50.6,-26.6,5
8,-50.4,-26.6,8
9,-50.2,-26.6,8
10,-49.6,-26.6,1
11,-52.6,-26.4,15
12,-52.4,-26.4,15
13,-52.2,-26.4,15
14,-52.0,-26.4,15
15,-51.8,-26.4,15
16,-51.6,-26.4,13
17,-51.4,-26.4,12
18,-51.2,-26.4,12
19,-51.0,-26.4,9
20,-50.8,-26.4,5
21,-50.6,-26.4,5
22,-50.4,-26.4,8
23,-50.0,-26.4,7
24,-49.8,-26.4,1
25,-49.6,-26.4,1
26,-53.6,-26.2,20
27,-53.4,-26.2,20
28,-53.2,-26.2,15
29,-53.0,-26.2,15
30,-52.8,-26.2,15
31,-52.6,-26.2,15
32,-52.4,-26.2,15
33,-52.2,-26.2,16
34,-52.0,-26.2,16
35,-51.8,-26.2,13
36,-51.6,-26.2,12
37,-51.4,-26.2,12
38,-51.2,-26.2,12
39,-51.0,-26.2,9
40,-50.8,-26.2,9
41,-50.6,-26.2,9
42,-50.4,-26.2,8
43,-50.2,-26.2,7
44,-50.0,-26.2,7
45,-49.8,-26.2,1
46,-49.6,-26.2,1
47,-49.4,-26.2,1
48,-49.2,-26.2,1
49,-53.8,-26.0,21
50,-53.6,-26.0,20
51,-53.4,-26.0,20
52,-53.2,-26.0,15
53,-53.0,-26.0,15
54,-52.8,-26.0,15
55,-52.6,-26.0,15
56,-52.4,-26.0,15
57,-52.2,-26.0,16
58,-52.0,-26.0,16
59,-51.8,-26.0,16
60,-51.6,-26.0,12
61,-51.4,-26.0,12
62,-51.2,-26.0,12
63,-51.0,-26.0,12
64,-50.8,-26.0,9
65,-50.6,-26.0,8
66,-50.4,-26.0,8
67,-50.2,-26.0,7
68,-50.0,-26.0,7
69,-49.8,-26.0,7
70,-49.6,-26.0,3
71,-49.4,-26.0,3
72,-49.2,-26.0,1
73,-49.0,-26.0,1
74,-54.0,-25.8,21
75,-53.8,-25.8,21
76,-53.6,-25.8,20
77,-53.4,-25.8,20
78,-53.2,-25.8,19
79,-53.0,-25.8,17
80,-52.8,-25.8,15
81,-52.6,-25.8,19
82,-52.4,-25.8,19
83,-52.2,-25.8,19
84,-52.0,-25.8,19
85,-51.8,-25.8,19
86,-51.6,-25.8,16
87,-51.4,-25.8,12
88,-51.2,-25.8,10
89,-51.0,-25.8,9
90,-50.8,-25.8,4
91,-50.6,-25.8,4
92,-50.4,-25.8,6
93,-50.2,-25.8,6
94,-50.0,-25.8,6
95,-49.8,-25.8,6
96,-49.6,-25.8,3
97,-49.4,-25.8,3
98,-49.2,-25.8,3
99,-54.4,-25.6,21
100,-54.2,-25.6,21
101,-54.0,-25.6,21
102,-53.8,-25.6,20
103,-53.6,-25.6,20
104,-53.4,-25.6,20
105,-53.2,-25.6,19
106,-53.0,-25.6,19
107,-52.8,-25.6,19
108,-52.6,-25.6,19
109,-52.4,-25.6,19
110,-52.2,-25.6,19
111,-52.0,-25.6,19
112,-51.8,-25.6,18
113,-51.6,-25.6,18
114,-51.4,-25.6,18
115,-51.2,-25.6,10
116,-51.0,-25.6,4
117,-50.8,-25.6,4
118,-50.6,-25.6,4
119,-50.4,-25.6,6
120,-50.2,-25.6,6
121,-50.0,-25.6,6
122,-49.8,-25.6,2
123,-49.6,-25.6,2
124,-49.4,-25.6,2
125,-49.2,-25.6,2
126,-49.0,-25.6,2
127,-54.2,-25.4,21
128,-54.0,-25.4,20
129,-53.8,-25.4,20
130,-53.6,-25.4,20
131,-53.4,-25.4,19
132,-53.2,-25.4,19
133,-53.0,-25.4,19
134,-52.8,-25.4,19
135,-52.6,-25.4,19
136,-52.4,-25.4,19
137,-52.2,-25.4,19
138,-52.0,-25.4,19
139,-51.8,-25.4,18
140,-51.6,-25.4,18
141,-51.4,-25.4,18
142,-51.2,-25.4,18
143,-49.4,-25.4,2
144,-49.2,-25.4,2
145,-49.0,-25.4,2
146,-53.8,-25.2,20
147,-53.6,-25.2,20
148,-53.4,-25.2,20
149,-53.2,-25.2,19
150,-53.0,-25.2,14
151,-52.8,-25.2,14
152,-52.0,-25.2,19
153,-51.8,-25.2,19
154,-51.6,-25.2,18
155,-53.4,-25.0,20
