Bacia,Modelo,NSE,Log-NSE,KGE,PBIAS(%)
Rio_Negro,MGB,0.866,0.903,0.922,3.166
Rio_Negro,SAC,0.824,0.866,0.752,5.802
Rio_Negro,GR4J,0.822,0.849,0.859,3.772
Rio_Negro,HYMOD,0.836,0.7,0.842,6.198
Rio_Negro,SMAP,0.799,0.601,0.869,1.843
Rio_Negro,IPH2,0.87,0.82,0.915,-6.399
Porto_Amazonas,MGB,0.908,0.894,0.933,3.666
Porto_Amazonas,SAC,0.865,0.89,0.84,7.018
Porto_Amazonas,GR4J,0.837,0.776,0.79,-5.312
Porto_Amazonas,HYMOD,0.876,0.863,0.863,3.913
Porto_Amazonas,SMAP,0.808,0.754,0.788,1.592
Porto_Amazonas,IPH2,0.849,0.797,0.73,-0.997
Sao_Bento,MGB,0.855,0.779,0.818,-8.549
Sao_Bento,SAC,0.736,0.797,0.739,8.911
Sao_Bento,GR4J,0.874,0.812,0.889,-1.013
Sao_Bento,HYMOD,0.772,0.684,0.779,3.34
Sao_Bento,SMAP,0.694,0.263,0.615,-22.085
Sao_Bento,IPH2,0.705,0.692,0.698,4.91
Pontilhao,MGB,0.618,0.698,0.716,20.472
Pontilhao,SAC,0.8,0.829,0.83,12.606
Pontilhao,GR4J,0.623,0.463,0.666,-0.115
Pontilhao,HYMOD,0.652,0.55,0.688,-0.593
Pontilhao,SMAP,0.688,-0.27,0.738,20.585
Pontilhao,IPH2,0.793,0.675,0.841,4.433
Santa_Cruz_do_Timbo,MGB,0.687,0.729,0.722,10.157
Santa_Cruz_do_Timbo,SAC,0.771,0.8,0.833,8.377
Santa_Cruz_do_Timbo,GR4J,0.776,0.638,0.79,-11.627
Santa_Cruz_do_Timbo,HYMOD,0.717,0.643,0.623,-20.414
Santa_Cruz_do_Timbo,SMAP,0.769,0.706,0.881,0.353
Santa_Cruz_do_Timbo,IPH2,0.797,0.751,0.876,4.003
Madereira_Gavazzoni,MGB,0.556,0.39,0.697,17.748
Madereira_Gavazzoni,SAC,0.522,0.372,0.606,35.957
Madereira_Gavazzoni,GR4J,0.632,0.452,0.72,22.03
Madereira_Gavazzoni,HYMOD,0.552,0.332,0.643,24.415
Madereira_Gavazzoni,SMAP,0.626,0.436,0.723,18.749
Madereira_Gavazzoni,IPH2,0.619,0.437,0.688,26.381
Jangada,MGB,-3.199,0.128,0.072,-67.912
Jangada,SAC,0.398,0.71,0.654,-5.795
Jangada,GR4J,-0.191,0.608,0.553,-18.402
Jangada,HYMOD,0.25,0.433,0.465,-24.925
Jangada,SMAP,0.16,0.372,0.543,-25.59
Jangada,IPH2,-0.151,0.486,0.544,-28.922
Solais_Novo,MGB,0.702,0.78,0.726,-11.786
Solais_Novo,SAC,0.745,0.826,0.754,15.063
Solais_Novo,GR4J,0.776,0.808,0.767,6.232
Solais_Novo,HYMOD,0.64,0.72,0.66,16.008
Solais_Novo,SMAP,0.732,0.709,0.794,12.535
Solais_Novo,IPH2,0.752,0.761,0.755,2.66
