,Codigo,ANA,Lat,Lon,Alt
Aguas_do_Vere,25465256,2552056,-25.7737,-52.9329,466
Balsa_Jaracatia,25345816,2553066,-25.5832,-53.2668,23
Bituruna,26065150, ,-26.0639,-51.5083,720
Boa_Vista_da_Aparecida,25315021,2553069,-25.5225,-53.3558,367
Cascavel,24535333,2453064,-24.8845,-53.5547,719.3
Coronel_Domingos_Soares,25825217, ,-26.03729,-51.98156,607
Curitiba,25264916,2549101,-25.44817,-49.23033,935
Derivacao_do_Rio_Jordao,25755210,2557071,-25.75922,-52.10889,689
Divisa,26055019,2650026,-26.0833,-50.3166,770
Entre_Rios,25335129,2551072,-25.5459,-51.4884,1095
Fernandes_Pinheiro,25275035, ,-25.4532,-50.5839,893
Fluviopolis,26025035,2650027,-26.0333,-50.5833,770
Foz_do_Areia_Hid,26005139,2651055,-26.00639,-51.66754,728.2
Foz_do_Areia_Met,26055139,2651053,-26.0037,-51.6679,780
Foz_do_Cachoeira,26355045,2650028,-26.5833,-50.75,895
Foz_do_Chopim,25345306, ,-25.5713,-53.1135,351
Foz_do_Iguacu,25245437,2554036,-25.4059,-54.6167,232
Foz_do_Timbo,26105047,2650029,-26.29452,-50.89522, 
Fragosos,26094923,2649073,-26.15,-49.3833, 
Francisco_Beltrao,26055305, ,-26.0593,-53.06548,652
Guarapuava,25215130,2551070,-25.3845,-51.4935,1070
Jangada,26225115,2651057,-26.3666,-51.25,1046
Lapa,25474946,2549104,-25.7817,-49.7598,909.8
Madeireira_Gavazzoni,25485116,2551054,-25.80682,-51.22884,805
Nova_Prata_do_Iguacu,25345331,2553063,-25.5666,-53.5166,546.3
Palmas,26285158, ,-26.4682,-51.9762,1100
Palmital_do_Meio,26025109,2651056,-26.02999,-51.14149,840
Pato_Branco,26075241,2652042,-26.1229,-52.6514,721.8
Pinhais,25254905, ,-25.3907,-49.1299,930
Pinhao,25385157,2551071,-25.64944,-51.9625,910
Ponta_Grossa,25135001,2550071,-25.0137,-50.1524,888.25
Pontilhao,25555031,2550070,-25.9166,-50.5166, 
Porto_Amazonas,25334953,2549106,-25.55,-49.8833,780
Porto_Capanema,25345435,2553070,-25.6154,-53.7923,234
Porto_Palmeirinha,26015237,2652048,-26.0291,-52.6283,720
Porto_Santo_Antonio,25235306,2553062,-25.3833,-53.1,386
Porto_Vitoria,26105114,2651058,-26.1666,-51.2333,745
Reservatorio_Salto_Caxias,25325329,2553068,-25.5333,-53.4833,440
Rio_Negro,26064948,2649074,-26.1097,-49.80194,766
Salto_Cataratas,25415426,2554035,-25.6833,-54.4333,234
Salto_Caxias_Hid,25325330,2553061,-25.5333,-53.5,420
Salto_Caxias_Met,25315329, ,-25.52092,-53.49412,440
Salto_Osorio,25315301, ,-25.52213,-53.03087,514
Santa_Cruz_do_Timbo,26125049,2650030,-26.38392,-50.87826, 
Sao_Bento,25564947,2549105,-25.9333,-49.7833,799
Sao_Mateus_do_Sul,25525023,2550069,-25.87702,-50.38755,760
Sao_Miguel_do_Iguacu,25115408,2554034,-25.3528,-54.2546,298
Segredo,25475206,2552057,-25.7911,-52.11895,607
Solais_Novo,26055155,2651054,-26.0833,-51.9166,809
Uniao_da_Vitoria_Hid,26145104,2651059,-26.22772,-51.08059,749
Uniao_da_Vitoria_Met,26145103,2651060,-26.22825,-51.06827,756.53
Vossoroca,25494905,2549102,-25.8166,-49.0833,851
