fid,idbacia,Nr_Bacia,Nome_Bacia,area
"1","1030","10",Madeireira Gavazzoni,978.070433839102
"2","69","12",Foz do Areia,3954.23899983019
"3","144","1",Rio Negro,3460.67406383238
"4","1131","2",Porto Amazonas,3624.2547901766
"5","671","3",Sao Bento,2002.93834266635
"6","1000","4",Pontilhao,2209.46957440958
"7","21","5",Santa Cruz do Timbo,2605.39781120666
"8","973","6",Sao Mateus do Sul,2410.71756919572
"9","249","7",Divisa,2589.81156850716
"10","264","8",Fluviopolis,2287.02739069519
"11","25","9",Uniao da Vitoria,3029.46356838323
"12","14","11",Jangada,1004.44730060632
"13","3","13",Solais Novo,1654.12599322874
"14","1813","14",Porto Santo Antonio,1082.85757020358
"15","1","15",Aguas do Vere,6694.4484295126
"16","245","16",Segredo,2578.2427248934
"17","862","17",Foz do Chopim,770.830286995661
"18","1208","18",Santa Clara,3910.25958404724
"19","756","19",Salto Caxias,10238.9664089319
"20","157","20",Porto Capanema,6800.73942184548
"21","557","21",Hotel Cataratas,2981.42596727884
