parNome,parValor,par2,par3,par4
UZTWM,26.5611,30.9904,23.3725,18.4946
UZFWM,36.4203,31.9322,67.9281,60.1634
LZTWM,198.816,194.550,186.693,113.193
LZFPM,177.883,800.408,335.360,988.213
LZFSM,48.5478,195.032,246.755,173.219
ADIMP,0.0869298,0.148593,0.0686911,0.0406194
PCTIM,0.0893067,0.0632884,0.0904938,0.0950122
PFREE,0.348972,0.499325,0.511709,0.315502
UZK,0.277624,0.380265,0.345373,0.232618
LZPK,0.0148486,0.00551652,0.00207122,0.00212387
LZSK,0.0857256,0.113171,0.119181,0.0798403
ZPERC,19.3809,89.6326,122.441,90.8212
REXP,1.95561,2.56204,3.23934,2.43011
K,2.73116,2.33174,2.75169,2.40510
N,3.15213,3.40407,4.92167,4.47914
